StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Q_BallotBoxStuffing,QID1219594129,q1,q2_orig,q3,q4,q5,q6_orig,q7,q8_orig,q9_orig,q10_orig,cc1,cc2,c11,c12,c13,c14,c15,picture,tc1,tc2,coa1,coa2,anthem,t11,t12,t13,t14,t15,check,age,gndr,nationality,educ,lrscale_1,psychback,SC0,group
2026-03-23 08:17:59,2026-03-23 08:24:28,0,100,388,1,2026-03-23 08:24:28,R_2Ekpmno8lXNgQq5,anonymous,EN-GB,,,1,2,4,3,6,6,6,6,6,3,2,,,,,,,,1,1,3,1,,6,2,6,1,7,6,4,23,1,64,5,2,2,78,treatment
2026-03-23 08:17:25,2026-03-23 08:24:40,0,100,434,1,2026-03-23 08:24:40,R_2fDmHlxhXYnSrpR,anonymous,EN-GB,,,1,5,5,7,5,7,3,5,1,5,2,,,,,,,,1,1,3,2,,5,3,5,2,6,7,1,22,2,63,4,2,1,76,treatment
2026-03-23 08:19:48,2026-03-23 08:32:08,0,100,740,1,2026-03-23 08:32:09,R_2IgT9k9m4kQn9Ux,anonymous,EN-GB,,,1,2,7,5,6,7,7,7,6,6,5,,,,,,,,1,1,3,2,,5,1,5,4,7,7,2,49,2,183,4,4,2,92,treatment
2026-03-23 08:30:43,2026-03-23 08:34:45,0,100,241,1,2026-03-23 08:34:46,R_8f7qKb4Iu3nTypJ,anonymous,EN-GB,,,1,5,2,7,1,5,2,5,1,7,6,,,,,,,,1,1,3,1,,5,5,7,5,7,7,4,24,1,52,4,3,1,82,treatment
2026-03-23 08:29:10,2026-03-23 08:34:49,0,100,339,1,2026-03-23 08:34:50,R_8UeNNlZRRmj9f5T,anonymous,EN-GB,,,1,6,5,5,4,6,3,5,5,4,3,2,3,3,6,5,4,5,,,,,,,,,,,,,22,2,146,4,2,1,76,control
2026-03-23 08:32:00,2026-03-23 08:35:10,0,100,190,1,2026-03-23 08:35:11,R_2TZZglIJMpVqikp,anonymous,EN-GB,,,1,6,1,7,2,6,5,7,2,7,2,2,3,3,5,5,7,6,,,,,,,,,,,,,22,2,4,5,2,2,80,control
2026-03-23 08:32:47,2026-03-23 08:45:33,0,100,766,1,2026-03-23 08:45:34,R_22ExjaqdH9WDEmL,anonymous,EN-GB,,,1,6,7,5,3,5,2,5,6,3,3,,,,,,,,1,1,3,2,,4,3,6,1,6,5,5,23,2,52,5,2,1,79,treatment
2026-03-23 08:52:47,2026-03-23 08:57:11,0,100,263,1,2026-03-23 08:57:11,R_2HeKj5gFL8A4xqF,anonymous,EN-GB,,,1,6,4,3,2,6,1,7,5,5,4,,,,,,,,2,1,3,,3,4,5,5,3,7,6,2,23,2,139,4,4,1,78,treatment
2026-03-23 08:52:34,2026-03-23 08:58:09,0,100,334,1,2026-03-23 08:58:09,R_8rHgN0auhrgYRKL,anonymous,EN-GB,,,1,6,5,3,2,5,4,6,6,6,6,,,,,,,,1,1,3,3,,5,4,6,3,6,6,5,23,1,52,4,5,2,86,treatment
2026-03-23 08:58:49,2026-03-23 09:03:50,0,100,300,1,2026-03-23 09:03:51,R_8TLcvsYgjczP7Db,anonymous,EN-GB,,,1,4,5,4,5,5,5,5,2,3,2,,,,,,,,1,1,3,2,,4,2,4,3,4,4,3,20,2,64,4,2,1,67,treatment
2026-03-23 09:01:57,2026-03-23 09:05:17,0,100,200,1,2026-03-23 09:05:17,R_2q7HjLsCi1iXLZe,anonymous,EN-GB,,,1,7,6,6,5,7,3,7,4,5,4,2,3,6,6,6,5,7,,,,,,,,,,,,,21,2,52,2,2,1,89,control
2026-03-23 08:57:00,2026-03-23 09:06:09,0,100,548,1,2026-03-23 09:06:09,R_8D7zel8YFHKW7NR,anonymous,EN-GB,,,1,6,5,7,1,6,2,6,3,6,4,2,3,4,5,3,5,7,,,,,,,,,,,,,23,2,79,4,3,1,77,control
2026-03-23 09:03:37,2026-03-23 09:11:50,0,100,493,1,2026-03-23 09:11:51,R_26dhBAVpSrzf3d7,anonymous,EN-GB,,,1,7,6,6,4,6,2,6,2,6,2,,,,,,,,1,1,3,2,,4,3,5,3,6,4,3,21,2,52,4,3,1,78,treatment
2026-03-23 09:09:17,2026-03-23 09:15:27,0,100,369,1,2026-03-23 09:15:27,R_8pXcJouVwDEPsGZ,anonymous,EN-GB,,,1,6,4,6,5,7,4,5,2,5,5,2,3,1,7,1,2,5,,,,,,,,,,,,,21,2,64,4,2,1,72,control
2026-03-23 09:10:49,2026-03-23 09:16:51,0,100,361,1,2026-03-23 09:16:51,R_2ap5z0SOI4BilsR,anonymous,EN-GB,,,1,6,3,2,4,7,5,7,6,5,2,,,,,,,,2,1,3,,1,6,2,5,2,5,4,1,21,1,64,4,3,1,72,treatment
2026-03-23 09:11:43,2026-03-23 09:19:02,0,100,438,1,2026-03-23 09:19:02,R_2jWcsgrgZoWDCmn,anonymous,EN-GB,,,1,6,2,6,5,5,3,6,1,5,3,,,,,,,,2,1,3,,1,5,3,3,3,5,6,4,20,1,27,2,2,1,70,treatment
2026-03-23 09:13:49,2026-03-23 09:19:10,0,100,321,1,2026-03-23 09:19:11,R_8mnqUp7qVngZTY9,anonymous,EN-GB,,,1,5,6,7,5,5,3,6,1,4,1,,,,,,,,1,1,3,1,,6,2,6,1,6,7,3,23,4,63,4,2,1,172,treatment
2026-03-23 09:11:51,2026-03-23 09:19:49,0,100,478,1,2026-03-23 09:19:50,R_2Gvz0N0vzi0bexn,anonymous,EN-GB,,,1,3,3,5,3,5,5,5,2,6,3,,,,,,,,1,1,3,3,,4,5,7,3,6,6,4,22,2,63,4,3,2,79,treatment
2026-03-23 09:13:59,2026-03-23 09:20:56,0,100,417,1,2026-03-23 09:20:56,R_8bVHF8qmqemxwDl,anonymous,EN-GB,,,1,6,1,5,6,7,6,7,6,6,4,2,3,4,5,3,5,7,,,,,,,,,,,,,22,3,29,4,2,1,86,control
2026-03-23 09:21:14,2026-03-23 09:26:38,0,100,324,1,2026-03-23 09:26:39,R_2d215G9lncqCkgN,anonymous,EN-GB,,,1,7,6,7,2,7,1,7,1,5,1,,,,,,,,1,1,3,3,,4,1,1,1,7,7,5,21,2,64,4,2,1,73,treatment
2026-03-23 09:30:40,2026-03-23 09:36:11,0,100,331,1,2026-03-23 09:36:12,R_2MxCL2Wr0fKLntD,anonymous,EN-GB,,,1,6,6,5,6,3,5,6,3,5,6,,,,,,,,1,1,3,2,,6,5,7,5,7,7,3,22,2,52,4,3,2,93,treatment
2026-03-23 09:37:03,2026-03-23 09:39:39,0,100,156,1,2026-03-23 09:39:39,R_8pNQpU5138P8mxb,anonymous,EN-GB,,,1,5,5,5,1,5,6,5,6,7,2,2,3,4,6,1,7,5,,,,,,,,,,,,,24,1,52,4,2,1,76,control
2026-03-23 09:34:22,2026-03-23 09:46:41,0,100,739,1,2026-03-23 09:46:41,R_2KdLCVjZKF4h9eE,anonymous,EN-GB,,,1,7,6,4,6,7,1,7,5,4,1,,,,,,,,2,1,3,,1,5,5,7,4,5,7,3,21,2,186,4,3,2,87,treatment
2026-03-23 09:44:15,2026-03-23 09:50:55,0,100,399,1,2026-03-23 09:50:55,R_21z5pmp4im0G2QE,anonymous,EN-GB,,,1,6,6,3,2,7,1,5,5,3,1,,,,,,,,1,1,3,4,,5,5,7,2,7,7,4,21,1,88,4,4,1,77,treatment
2026-03-23 09:51:29,2026-03-23 09:57:51,0,100,382,1,2026-03-23 09:57:51,R_2ZKvnzYSrrHdxXr,anonymous,EN-GB,,,1,5,2,6,5,7,5,6,5,4,2,,,,,,,,2,1,3,,2,4,4,4,2,5,4,4,23,2,4,4,2,1,77,treatment
2026-03-23 09:53:24,2026-03-23 10:00:13,0,100,408,1,2026-03-23 10:00:14,R_8v2LquBSNkcwriW,anonymous,EN-GB,,,1,6,5,4,5,5,5,6,7,3,3,,,,,,,,2,1,3,,3,7,6,5,6,7,3,5,24,1,116,4,5,1,87,treatment
2026-03-23 09:47:16,2026-03-23 10:04:35,0,100,1039,1,2026-03-23 10:04:36,R_81sBXD24Wjhm9By,anonymous,EN-GB,,,1,6,6,6,6,6,5,6,3,3,5,2,3,3,5,1,6,6,,,,,,,,,,,,,22,2,52,5,2,1,81,control
2026-03-23 09:59:24,2026-03-23 10:06:18,0,100,413,1,2026-03-23 10:06:19,R_8loeR3UB4GIQCpp,anonymous,EN-GB,,,1,3,1,5,6,5,3,5,5,4,3,,,,,,,,2,1,3,,2,4,5,7,3,6,6,5,24,2,26,5,2,1,80,treatment
2026-03-23 10:02:30,2026-03-23 10:07:09,0,100,278,1,2026-03-23 10:07:09,R_2j2r8WfYGmt10gX,anonymous,EN-GB,,,1,2,5,6,5,6,6,4,2,4,1,,,,,,,,1,1,3,3,,6,5,5,7,4,6,2,20,2,52,2,3,1,75,treatment
2026-03-23 10:14:36,2026-03-23 10:19:20,0,100,284,1,2026-03-23 10:19:20,R_2phc0m50tC2yyNo,anonymous,EN-GB,,,1,7,5,5,2,7,1,6,2,4,5,2,3,3,5,4,7,5,,,,,,,,,,,,,22,2,4,4,3,1,75,control
2026-03-23 09:54:57,2026-03-23 10:24:52,0,100,1794,1,2026-03-23 10:24:52,R_837IFtomUEflLz4,anonymous,EN-GB,,,1,3,5,6,6,5,5,7,2,3,3,,,,,,,,2,1,3,,1,7,4,6,5,6,6,2,27,2,186,5,5,1,82,treatment
2026-03-23 10:16:36,2026-03-23 10:25:47,0,100,550,1,2026-03-23 10:25:48,R_8hF47OQMDYxxy78,anonymous,EN-GB,,,1,7,4,5,3,6,2,6,2,5,3,,,,,,,,1,1,3,2,,5,5,6,4,7,7,3,22,2,144,4,4,1,82,treatment
2026-03-23 10:25:31,2026-03-23 10:32:49,0,100,438,1,2026-03-23 10:32:50,R_2QlxqkZThu2ruxv,anonymous,EN-GB,,,1,6,7,7,7,7,7,7,2,6,4,,,,,,,,2,1,3,,1,4,3,6,1,6,5,3,21,2,116,4,4,1,91,treatment
2026-03-23 10:57:05,2026-03-23 11:01:22,0,100,257,1,2026-03-23 11:01:23,R_8oRZlqdeY0C7aKL,anonymous,EN-GB,,,1,6,3,6,2,7,1,7,5,4,2,,,,,,,,2,1,3,,4,5,5,6,3,7,7,4,21,2,64,4,5,1,82,treatment
2026-03-23 11:01:28,2026-03-23 11:07:43,0,100,374,1,2026-03-23 11:07:44,R_2A1jUhdFMQhhvy0,anonymous,EN-GB,,,1,5,7,6,6,3,5,5,2,5,1,2,3,5,7,7,5,7,,,,,,,,,,,,,24,1,68,5,7,2,84,control
2026-03-23 11:09:02,2026-03-23 11:13:54,0,100,292,1,2026-03-23 11:13:55,R_82pwxAumqyLUVKp,anonymous,EN-GB,,,1,5,5,2,4,5,2,5,5,3,5,,,,,,,,1,1,3,2,,,4,5,3,5,6,4,21,2,29,2,3,1,73,treatment
2026-03-23 11:11:17,2026-03-23 11:17:23,0,100,366,1,2026-03-23 11:17:24,R_8YJjGCDpX1732P3,anonymous,EN-GB,,,1,2,3,3,6,5,7,5,5,3,5,,,,,,,,2,1,3,,1,6,2,3,2,1,5,3,19,2,147,2,2,2,66,treatment
