StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Q_BallotBoxStuffing,QID1219594129,q1,q2_orig,q3,q4,q5,q6_orig,q7,q8_orig,q9_orig,q10_orig,cc1,cc2,c11,c12,c13,c14,c15,picture,tc1,tc2,coa1,coa2,anthem,t11,t12,t13,t14,t15,check,age,gndr,nationality,educ,lrscale_1,psychback,SC0,group
2026-03-15 20:32:23,2026-03-15 20:37:05,IP Address,100,282,True,2026-03-15 20:37:05,R_2vkGts1vLdSLJXb,anonymous,EN-GB,,,"I consent, begin the study",Disagree a little,Agree moderately,Agree strongly,Agree a little,Agree moderately,Agree moderately,Agree moderately,Disagree strongly,Agree moderately,Neither agree nor disagree,Lava plain,Basalt,Rather important,Very important,Very important,Very important,Rather important,,,,,,,,,,,,,21,Female,Ukrainian,Some college but no degree,3,No,87,control
2026-03-15 20:26:29,2026-03-15 20:38:06,IP Address,100,697,True,2026-03-15 20:38:07,R_2zomHYuu5FCVdVT,anonymous,EN-GB,,,"I consent, begin the study",Agree a little,Disagree moderately,Agree a little,Disagree a little,Agree moderately,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,,,,,,,,Image 1,North-West,Big Jaw,IM_Rhf66LqVHE9E5Hv,,"A land so vast, so prosperous, and so gay. ",Rather important,Rather important,Rather unimportant,Rather important,Important,Rather Valorian,25,Female,Ukrainian,Master's degree,4,No,76,treatment
2026-03-15 20:25:28,2026-03-15 20:41:43,IP Address,100,975,True,2026-03-15 20:41:43,R_2zIUFVsKJ6ua97s,anonymous,EN-GB,,,"I consent, begin the study",Disagree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree moderately,Agree a little,,,,,,,,Image 1,North-West,Big Jaw,IM_Rhf66LqVHE9E5Hv,,,Rather important,Very important,Rather important,Very important,Important,Rather national,20,Female,Ukrainian,High school graduate,4,No,89,treatment
2026-03-15 20:49:11,2026-03-15 20:56:06,IP Address,100,414,True,2026-03-15 20:56:07,R_2qDaqsSgQ0U8Seq,anonymous,EN-GB,,,"I consent, begin the study",Agree a little,Agree a little,Disagree a little,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Disagree a little,Disagree a little,Agree a little,,,,,,,,Image 1,North-West,Big Jaw,IM_fVOCTd2oPBlCZVt,,,Rather unimportant,Rather important,Rather unimportant,Important,Important,Rather Valorian,23,Female,Slovakian,Bachelor's degree,3,No,77,treatment
2026-03-15 20:47:10,2026-03-15 20:59:12,IP Address,100,721,True,2026-03-15 20:59:12,R_8ToY3cpnaC61fGz,anonymous,EN-GB,,,"I consent, begin the study",Agree strongly,Agree moderately,Disagree a little,Agree a little,Agree moderately,Disagree moderately,Agree strongly,Agree moderately,Disagree moderately,Disagree strongly,,,,,,,,Image 2,North-West,Big Jaw,,IM_LfYJ2I8RzpCj2UT,,Neither important nor unimportant,Important,Rather unimportant,Neither important nor unimportant,Very important,Mostly national,20,Female,Ukrainian,High school graduate,3,No,79,treatment
2026-03-15 21:13:28,2026-03-15 21:17:49,IP Address,100,260,True,2026-03-15 21:17:49,R_8ef2bnT9Bf6TV8y,anonymous,EN-GB,,,"I consent, begin the study",Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree a little,Neither agree nor disagree,,,,,,,,Image 2,North-West,Big Jaw,,IM_LfYJ2I8RzpCj2UT,"The beautiful land that we call home ",Rather important,Important,Rather important,Important,Rather important,Rather national,30,Male,Irish,Master's degree,5,Yes,84,treatment
2026-03-15 22:33:09,2026-03-15 22:39:10,IP Address,100,361,True,2026-03-15 22:39:11,R_2MGdeSQYQnEsmiy,anonymous,EN-GB,,,"I consent, begin the study",Agree a little,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Lava plain,Basalt,Rather unimportant,Very important,Neither important nor unimportant,Rather unimportant,Important,,,,,,,,,,,,,21,Female,Romanian,High school graduate,2,No,74,control
2026-03-16 13:21:33,2026-03-16 13:29:23,IP Address,100,470,True,2026-03-16 13:29:24,R_2nvzz6AqRvE5AwY,anonymous,EN-GB,,,"I consent, begin the study",Disagree moderately,Agree strongly,Disagree a little,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Agree strongly,Neither agree nor disagree,Disagree strongly,,,,,,,,Image 2,North-West,Big Jaw,,IM_S39Qe9bKihpKMpY,For the virtue of the Jaw,Rather important,Very important,Rather unimportant,Very important,Not at all important,Mostly Valorian,23,Male,Bulgarian,Master's degree,3,Yes,81,treatment
2026-03-16 13:31:19,2026-03-16 13:34:12,IP Address,100,173,True,2026-03-16 13:34:13,R_2tQqftSEUTJ33jj,anonymous,EN-GB,,,"I consent, begin the study",Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Agree a little,Agree a little,Agree a little,Agree a little,Disagree moderately,Disagree moderately,Lava plain,Basalt,Important,Important,Rather important,Important,Very important,,,,,,,,,,,,,22,Female,Polish,High school graduate,3,No,74,control
2026-03-16 13:34:11,2026-03-16 13:43:37,IP Address,100,565,True,2026-03-16 13:43:37,R_2jTFxVybSZCuuJe,anonymous,EN-GB,,,"I consent, begin the study",Disagree a little,Agree moderately,Agree a little,Agree moderately,Agree a little,Disagree a little,Agree strongly,Disagree strongly,Agree a little,Disagree a little,,,,,,,,Image 1,North-West,Big Jaw,IM_fVOCTd2oPBlCZVt,,Peaceful and rich of unknown history,Rather important,Very important,Very important,Very important,Very important,Mostly Valorian,21,Female,Romanian,High school graduate,3,Yes,84,treatment
2026-03-16 13:55:30,2026-03-16 14:00:47,IP Address,100,317,True,2026-03-16 14:00:48,R_8qDnx6oOZ3dv8t3,anonymous,EN-GB,,,"I consent, begin the study",Neither agree nor disagree,Agree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree a little,Agree a little,Disagree a little,Neither agree nor disagree,Disagree moderately,,,,,,,,Image 2,North-West,Big Jaw,,,,Unimportant,Neither important nor unimportant,Unimportant,Rather important,Neither important nor unimportant,Rather Valorian,39,Prefer not to say,Dutch,Some college but no degree,2,Yes,165,treatment
2026-03-16 14:08:49,2026-03-16 14:11:57,IP Address,100,188,True,2026-03-16 14:11:58,R_8R9t7W8AQJwWAfL,anonymous,EN-GB,,,"I consent, begin the study",Agree a little,Agree strongly,Agree a little,Agree strongly,Agree strongly,Disagree moderately,Agree moderately,Agree strongly,Disagree moderately,Disagree moderately,Lava plain,Basalt,Unimportant,Rather important,Rather unimportant,Rather important,Important,,,,,,,,,,,,,23,Female,Hungarian,Bachelor's degree,4,No,78,control
2026-03-16 16:07:49,2026-03-16 16:16:11,IP Address,100,502,True,2026-03-16 16:16:12,R_2kAnTQm21x5utrj,anonymous,EN-GB,,,"I consent, begin the study",Agree strongly,Agree a little,Agree strongly,Disagree moderately,Agree moderately,Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree a little,,,,,,,,Image 2,North-West,Big Jaw,,IM_LfYJ2I8RzpCj2UT,"Our dear utopia ",Unimportant,Important,Rather unimportant,Important,Neither important nor unimportant,Mostly national,18,Male,Ukrainian,High school graduate,5,No,80,treatment
2026-03-16 18:44:32,2026-03-16 18:55:27,IP Address,100,654,True,2026-03-16 18:55:28,R_1UhgxXtmms1EwHm,anonymous,EN-GB,,,"I consent, begin the study",Agree strongly,Disagree moderately,Agree moderately,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Lava plain,Basalt,Rather unimportant,Rather important,Rather unimportant,Important,Very important,,,,,,,,,,,,,27,Male,American,Master's degree,2,No,82,control
2026-03-17 00:16:11,2026-03-17 00:22:37,IP Address,100,386,True,2026-03-17 00:22:38,R_8PHvXAOQYx6ZJ29,anonymous,EN-GB,,,"I consent, begin the study",Agree moderately,Disagree a little,Agree moderately,Agree a little,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Disagree a little,Disagree moderately,,,,,,,,Image 2,North-West,Big Jaw,,IM_LfYJ2I8RzpCj2UT,,Rather important,Rather important,Rather unimportant,Important,Very important,Rather Valorian,21,Female,Polish,High school graduate,2,Yes,73,treatment
2026-03-17 13:04:45,2026-03-17 13:11:18,IP Address,100,393,True,2026-03-17 13:11:18,R_2oBdnfptjG4DS3l,qr,EN-GB,,,"I consent, begin the study",Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree moderately,,,,,,,,Image 1,North-West,Big Jaw,IM_Rhf66LqVHE9E5Hv,,,Very important,Rather important,Unimportant,Very important,Important,Rather Valorian,23,Female,Dutch,Bachelor's degree,4,Yes,80,treatment
2026-03-17 13:04:39,2026-03-17 13:11:46,IP Address,100,426,True,2026-03-17 13:11:53,R_8OBGZ9bTh94iRse,qr,EN-GB,,,"I consent, begin the study",Disagree moderately,Agree moderately,Agree strongly,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree strongly,Disagree moderately,Disagree a little,Lava plain,Basalt,Not at all important,Rather important,Not at all important,Rather important,Important,,,,,,,,,,,,,23,Female,German,Bachelor's degree,3,Yes,67,control
2026-03-17 13:04:39,2026-03-17 13:17:49,IP Address,100,790,True,2026-03-17 13:17:50,R_8UaLL8LSu1rPx2u,qr,EN-GB,,,"I consent, begin the study",Agree moderately,Agree strongly,Agree moderately,Disagree a little,Agree strongly,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Lava plain,Basalt,Unimportant,Important,Not at all important,Neither important nor unimportant,Rather important,,,,,,,,,,,,,22,Male,Italian,Master's degree,2,No,75,control
2026-03-17 13:04:32,2026-03-17 13:32:44,IP Address,100,1691,True,2026-03-17 13:32:44,R_2zFU2WOHkzXWQbs,qr,EN-GB,,,"I consent, begin the study",Agree a little,Disagree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Disagree a little,Lava plain,Basalt,Rather important,Very important,Rather important,Rather important,Rather important,,,,,,,,,,,,,24,Female,Greek,Bachelor's degree,4,No,84,control
2026-03-17 13:04:11,2026-03-17 13:51:37,IP Address,100,2845,True,2026-03-17 13:51:38,R_8ilKo977PG4xyLX,qr,EN-GB,,,"I consent, begin the study",Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree strongly,Disagree a little,Agree strongly,Disagree moderately,Agree moderately,Disagree moderately,,,,,,,,Image 1,North-West,Big Jaw,IM_fVOCTd2oPBlCZVt,,I’m skipping,Rather important,Rather important,Unimportant,Important,Important,Rather national,25,Female,Spanish,Bachelor's degree,4,No,85,treatment
2026-03-17 15:48:24,2026-03-17 16:01:15,IP Address,100,770,True,2026-03-17 16:01:17,R_8ApMR3UQIoYGcgh,qr,EN-GB,,,"I consent, begin the study",Disagree a little,Disagree a little,Agree moderately,Agree a little,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Lava plain,Basalt,Rather unimportant,Rather important,Unimportant,Important,Important,,,,,,,,,,,,,23,Female,Dutch,Master's degree,4,No,79,control
